0.028925 0.022750 0.059086 
0.004757 0.050383 0.122505 
0.075712 0.047873 0.093768 
0.098824 0.006254 0.034983 
0.112254 0.067360 0.000406 
0.101690 0.122442 0.084694 
0.033577 0.103670 0.095857 
0.056290 0.083244 0.037778 
0.023086 0.145372 0.045326 
0.019474 0.208621 0.055686 
0.025415 0.229577 0.118047 
0.064602 0.172285 0.093860 
0.089281 0.229552 0.081414 
0.071757 0.203556 0.015539 
0.085158 0.139133 0.021310 
0.180050 0.220546 0.013417 
0.127063 0.188448 0.045355 
0.162618 0.245864 0.077820 
0.140393 0.180947 0.106908 
0.191211 0.176200 0.063413 
0.230012 0.149557 0.108983 
0.207110 0.211280 0.117197 
0.232134 0.241002 0.062732 
0.241735 0.181493 0.022449 
0.224802 0.118664 0.045829 
0.190167 0.063561 0.048932 
0.151144 0.124769 0.034847 
0.126922 0.064854 0.061515 
0.167930 0.117947 0.100427 
0.162755 0.042121 0.112405 
0.219424 0.015629 0.087480 
0.222216 0.082117 0.107260 
0.227563 0.028691 0.156959 
0.125027 0.020564 0.171667 
0.178814 0.080159 0.163971 
0.144432 0.068034 0.218996 
0.184071 0.023017 0.206969 
0.211974 0.098400 0.218081 
0.197935 0.182463 0.227144 
0.234196 0.210950 0.179423 
0.203073 0.145149 0.163862 
0.134298 0.138305 0.156255 
0.136899 0.249730 0.135733 
0.165206 0.199287 0.168202 
0.129789 0.214582 0.220333 
0.153198 0.135955 0.216593 
0.092117 0.166002 0.207051 
0.064146 0.233260 0.212566 
0.094758 0.199901 0.151428 
0.069017 0.128039 0.147065 
0.033198 0.183328 0.162832 
0.008263 0.201809 0.220912 
0.036043 0.136315 0.215220 
0.017189 0.065988 0.201964 
0.005895 0.114684 0.155589 
0.116317 0.078651 0.138060 
0.089899 0.095937 0.204030 
0.081720 0.029917 0.223754 
0.060959 0.054821 0.158984 
0.024691 0.030393 0.261738 
0.105792 0.061933 0.273457 
0.046338 0.092132 0.261062 
0.024082 0.082653 0.361476 
0.122014 0.102827 0.327500 
0.065412 0.055645 0.319938 
0.027190 0.006800 0.323077 
0.023006 0.022137 0.389629 
0.043052 0.038124 0.451319 
0.114385 0.031189 0.480140 
0.103661 0.007357 0.420196 
0.083433 0.055856 0.382072 
0.096039 0.119147 0.380561 
0.089890 0.082901 0.445284 
0.027493 0.114107 0.488951 
0.028111 0.097013 0.423468 
0.035886 0.151820 0.376851 
0.007363 0.168286 0.434207 
0.069478 0.148094 0.440487 
0.100785 0.124933 0.498465 
0.094556 0.186475 0.391224 
0.117349 0.192642 0.471722 
0.061773 0.216431 0.442577 
